divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05411,LIBORINA,ANTIOQUIA,5.199999809265137,852.2183227539062,10896.0,2805.0,8091.0,63.90715789794922,0.0017,0.0006713794796269023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05425,MACEO,ANTIOQUIA,5.300000190734863,483.39892578125,8902.0,3581.0,5321.0,51.43081283569336,0.0008,0.0005043680838672102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05440,MARINILLA,ANTIOQUIA,5.900000095367432,394.0652160644531,75558.0,53581.0,21977.0,13.51497745513916,0.0008,0.0004790913305516921,0.0,0.0,0.1746,0.015383768656716416,0.0,0.0,0.0,0.0
05467,MONTEBELLO,ANTIOQUIA,5.699999809265137,831.2658081054688,6477.0,2064.0,4413.0,49.85380172729492,0.0022,0.0008431454418928323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05475,MURINDÓ,ANTIOQUIA,5.900000095367432,443.7346801757813,6023.0,2239.0,3784.0,3.4037559032440186,0.0016,0.00029623892876631824,0.0,0.0,0.4044,0.035554184135502265,82.66399868450554,0.06506791883280227,0.0,392.0
05480,MUTATÁ,ANTIOQUIA,5.400000095367432,562.7149658203125,13717.0,5451.0,8266.0,22.746023178100582,0.0013,0.0003891571619019404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05483,NARIÑO,ANTIOQUIA,5.900000095367432,801.7898559570312,11059.0,3757.0,7302.0,62.07137680053711,0.0095,0.0009432459677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05495,NECHÍ,ANTIOQUIA,4.800000190734863,268.15789794921875,29853.0,16862.0,12991.0,42.90401840209961,0.0006,4.0678958150424344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05501,OLAYA,ANTIOQUIA,5.599999904632568,788.8756103515625,3496.0,397.0,3099.0,59.87779998779297,0.0018,0.0006155867970660146,0.0,0.0,0.0116,0.00018161764705882353,0.0,0.0,0.0,0.0
05541,PEÑOL,ANTIOQUIA,5.900000095367432,498.5008544921875,24121.0,13237.0,10884.0,23.69281005859375,0.0008,0.0004685624720107479,0.0,0.0,0.4006,0.034394464285714285,8.309010177050814,0.06964285714285715,0.0,1680.0
05543,PEQUE,ANTIOQUIA,4.800000190734863,856.6370849609375,8835.0,2835.0,6000.0,55.170799255371094,0.0029,0.0006315873210133398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05576,PUEBLORRICO,ANTIOQUIA,6.0,756.8200073242188,9073.0,4893.0,4180.0,50.0,0.0082,0.0014787579393083978,0.0,0.0,0.0004,1.129943502824859e-06,0.0,0.0,0.0,0.0
05579,PUERTO BERRÍO,ANTIOQUIA,5.599999904632568,396.40435791015625,39161.0,33521.0,5640.0,27.031719207763672,0.0008,0.00032878286609785826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05585,PUERTO NARE,ANTIOQUIA,5.800000190734863,428.54730224609375,15675.0,5410.0,10265.0,55.96184539794922,0.0032,0.00040324711062190413,0.0,0.0,0.3947,0.01831144644828855,28.761958305175895,0.049687154950312847,0.0,779.0
05591,PUERTO TRIUNFO,ANTIOQUIA,5.800000190734863,340.42999267578125,20322.0,3985.0,16337.0,68.21497344970703,0.0012,0.0002431056793673616,0.0,0.0,0.3903,0.052764850917431196,36.2187623102215,0.09747706422018348,0.0,1981.0
